global_aperiodic_exponent_p95,net8_Limbic_aperiodic_exponent_p95,net8_Salience_Ventral_Attention_alpha_peak_bw_median,net8_Visual_n,net8_Default_Mode_aperiodic_exponent_p95,net8_Salience_Ventral_Attention_alpha_peak_bw_p95,net8_Visual_alpha_peak_pw_p95,net8_Dorsal_Attention_n,net8_Executive_Control_alpha_peak_cf_p5,net8_Dorsal_Attention_alpha_peak_pw_p95,net8_Temporal_Parietal_alpha_peak_cf_median,net8_Limbic_alpha_peak_cf_p5,net8_Limbic_alpha_peak_cf_median,net8_Temporal_Parietal_n,net8_Default_Mode_alpha_peak_cf_median,net8_Limbic_alpha_peak_bw_p95,global_alpha_peak_bw_p95,net8_Dorsal_Attention_alpha_peak_bw_p95,net8_Temporal_Parietal_alpha_peak_cf_p5,net8_Default_Mode_alpha_peak_bw_p95,net8_Salience_Ventral_Attention_aperiodic_exponent_p95,net8_Temporal_Parietal_aperiodic_exponent_p95,net8_Executive_Control_alpha_peak_pw_p95,net8_Executive_Control_alpha_peak_bw_p95,global_alpha_peak_cf_median,net8_Default_Mode_alpha_peak_pw_IQR,net8_Visual_alpha_peak_cf_median,global_alpha_peak_pw_p95,net8_Visual_alpha_peak_pw_median,net8_Executive_Control_n
0.015249194682712937,-0.007199840888688774,0.007873853597213687,0.02048525709396477,-4.03716829289379e-05,0.004723490068762309,0.01803626834010855,-0.0019474922536693894,-0.00642285612548017,0.009978203723019732,-0.007378472539965711,-0.008320298875206045,-0.007673696916873895,-0.006672722039450064,-0.0049700441515121195,0.000897481577882585,0.00251173414930632,-0.00036764522279672356,-0.010512211596213194,0.0018592132728830857,-0.0010775463971059273,-0.0016804994758109954,0.003910348933821466,-0.0005487618338576714,-0.0026207574819100575,0.0007586741336424883,-0.0019937873243245194,0.0021797844199492014,0.008072814388333637,-0.0021062886802275947
-0.04580280267295877,-0.019085026862131618,0.003894570523168781,-0.009696224016689965,-0.014565586697706849,0.002857014444281864,-0.011344362666048748,-0.010265816344551235,-0.02113161398112904,-0.0074492189395762645,-0.0013892531212273537,-0.010800876221864429,-0.004247796717690883,-0.002986220350430359,-0.004385844196723634,0.00041456034354312506,0.0009078414487158684,-0.0012299293866739637,-0.0028427816090041413,0.000500889268919068,-0.0035889655008608055,-0.0014842408024862694,-0.002132042328685233,-0.0010770620472178374,-0.0048548779715935925,0.001267403360461441,-0.0013300257009211313,-0.004059336604178515,-0.001408095268377401,-0.0008217373745539953
0.03696490512118629,0.03827340219097842,-0.0028518723879147486,0.02506872244033288,0.019991262576754154,0.005874512209270306,0.014259497635000897,0.012625060651482889,0.0031274924028159927,0.009317034463184713,-0.0026908324084513827,0.0004861360805285099,0.0002499658552923792,0.01094902290344255,-0.0004905170364310439,0.003894394422277153,0.004963316730447778,0.004346914557017117,0.002758160873195032,0.00486682224431435,0.008025791420269667,0.0042686315829062816,0.0026396001075037778,0.001051903904643397,0.0001276120257428989,-0.009766966523228372,0.004447572944509568,0.001994981014904233,0.004199210225168858,0.005263832618742654
-0.049115431326316246,-0.02306235945711395,-0.0004843602318285751,-0.012173042904258247,-0.014336778834225987,-0.0036836670679540264,-0.009414713217504698,-0.008595355736009455,0.003344658678226295,0.005836520254667776,-0.0006260822702351452,0.002261849511006561,0.007948598116363689,-0.0030778697847738136,-0.000801439157994088,0.0009772404669446853,-0.0018253811294423473,-0.0030451728132678234,0.0010387728489716945,-0.0020791873679412098,-0.004058382343548577,-0.0005436440849863188,0.0025938534524730956,-0.0014833957895574984,-0.0031865193992812895,0.001366868750226385,-0.0008554722133256646,-0.0029446283875209805,-0.0008458597050063608,-0.000744725626324836
0.015461996530608228,0.0022391616572928056,0.01990882630305705,-0.007687103347669353,0.001356352878847936,0.0062504607063192386,0.003728078333189047,-0.002824178362367394,-0.0019154187323576375,0.0068486084732698235,-0.00476434708022236,-0.004817375898025157,-0.007626670979756987,-0.003137654999217034,-0.0024916397525232485,0.006826136720099229,0.004983547793831548,0.00499701241898264,-0.005066423116965796,0.002905233092416863,-0.0017957495039935736,-0.004556642854172208,0.002747626291333814,0.0050590256984128605,-0.0010813878336688395,-0.0014041203885729792,-0.0034011683134525733,-0.0004266178526335088,-0.001178289319381131,-0.0014661633782099331
0.023199450070453796,-0.0037716351241557943,0.0023048950607666065,0.024191615221914556,0.004256469198197329,0.009117925772961982,0.011458970223050044,0.00044653497223846135,0.0029379296069903154,0.01049337472258453,0.00019548498159773533,0.003021898082017565,0.009745826209176741,-0.005052050809399458,0.006864386816238363,-0.0011029611101340282,0.006470832171135215,0.008768451178822695,0.0029693870351098083,-0.0032191833029549984,0.0022392691426491728,-0.0002886514517164503,0.005336809094629113,0.0014883000483750476,0.0005085245285035335,-0.0012640934519845886,-0.0015861048441191696,0.002048206394895835,-0.001256824625914014,-0.001648949257690429
-0.035492480927146366,-0.023396451023304315,-0.0031250213543867096,-0.009151673809740584,-0.014307360425004254,0.0016269372558364653,-0.011282524329582488,-0.008139383205446717,0.0031097702792277585,-0.008758797504691974,-0.0012604461607278025,0.007324139511286934,-0.005894075091029971,-0.0021039948805317327,-0.004135176229758944,0.002091070843233286,-0.0013143013973860983,-0.0016880752840373336,-0.0018506692969517608,-0.0024702046848942855,-0.004453650585288282,-0.0012122018952537604,-0.001814578236243896,-0.0016242969549632208,-0.004242998752805624,0.0018096320740611995,-0.0012351749516244647,-0.002389373133750664,-0.0011586920930945351,-0.0011598155979619567
0.01641257703073395,0.012042628792198903,-0.028216136092454616,-0.007850795756184414,0.00984879261236076,-0.011641734356925133,-0.012191799471515448,-0.0037170917327521767,-0.002116776026593598,-0.009582310162107293,0.001624439834665971,-0.000658567925237207,-0.008614770427594601,-0.004400163915412845,-0.0060059939251910065,0.003451817528000913,-0.005193501510817416,-0.0005266138434404108,-0.0007870506885496751,-0.0058349337282110865,0.001173882510641414,0.009645955359652066,-0.001855187860583747,-0.00023215691665318054,-0.003687838372587713,-0.0001667777737100046,-0.0016039496737358702,-0.000523034395045185,-0.002342136653264645,-0.003601899439217258
0.0037214292992200225,-0.0010816317123385159,0.019095247125607485,0.020938934504308518,-0.01702363373882589,0.005206181569813251,-0.009372618393584059,0.022601080785296827,0.0033964346038076543,-0.008194678437560192,-0.014218596331129622,0.008035344211938739,0.00798363712747813,0.004337643772046214,-0.001742408906684026,0.0019096756371077316,0.0038748087505319816,8.822947204292218e-05,-0.019787324238285428,0.0028372798596244158,-0.0008080378901551982,-0.002418386019096749,-0.0037304559980291833,0.004315657096683122,-0.004968486562500474,-0.0038932365023872334,-0.002857058952398503,-0.0016422429471334111,-0.0025735834568132152,0.006236143595751527
0.023722562599565546,0.0039774972428471105,0.02747098165915347,-0.007773014739992464,0.005134243279361963,0.006181011954726118,0.003527100648161009,-0.002820897671381037,-0.00038232625159046157,0.007936936754557632,-0.005419246112244901,0.008610684755995204,-0.009238657625877122,-0.002807514284879449,-0.006785524140192963,0.006014304026100763,0.0023867126826332147,0.007108651012044205,0.0059425090252504505,0.0025180715281099436,0.0010356002303714676,-0.004129180889397155,0.0031055932360876115,0.005428055512273759,-0.003347471468633198,-0.0034382881595389353,-0.0035515885251766076,-0.00039009757974342395,-0.001650282525163532,-0.001603263235257009
-0.02003041063791714,-0.014147393027882961,-0.014460233807123215,-0.009363012785496823,-0.0041569793491133215,-0.01096865932817474,0.00655604876872795,-0.007811435494141654,0.007234422817027671,0.003264871984825402,-0.0018042667552254903,0.00021302708542633586,-0.004423517307615721,-0.003917619749472355,-0.0038997696921663017,-0.00817515279028493,-0.005412202109358267,-0.005934170260590529,-0.0028313205921340445,-0.003112379712424676,0.0006629660785370903,-0.0008324052134795641,0.0015344260246450006,-0.003707755430809567,-0.0008818789237100556,0.001878025023755983,-0.0012042809052011934,-0.0007228457757292633,-0.0007553706556040302,-0.0014034989303932108
0.041596929433942546,0.05279763637039608,0.03958057367022239,0.012395814824897813,0.021166021170515012,0.016702886050398214,0.0075736807339369374,-0.0019314354267725101,0.003875347231755084,0.009696706373871506,-0.0031472800169600945,0.005910427731228537,-0.003254146111622815,-0.0019215055825486601,-0.002610464135637599,0.003945048476403344,0.005341780734436959,0.005843833677011013,0.0033602020286074637,0.011396239868556588,0.011261469597171303,0.013657306860377352,0.001341966065520605,0.0039207631848623215,-0.001559338549219796,0.006662287829034983,-0.0006273683963225086,0.0018071699655536446,-0.0017109029082391727,-0.0011506553424222156
-0.03151521623728146,-0.021963423705186096,0.0036375367669545327,-0.010404862788438614,-0.008851532278703762,-0.00967979660488457,0.0027523144003506,-0.007242748687206443,0.0051684902104278015,0.0029008607576137737,0.008254228211833525,0.005976114273673443,0.005775456410103085,-0.002879382290139806,0.0029467756136368427,-0.004664264489129904,-0.005363633224166196,-0.004088878343991565,0.0033151114502854356,-0.0020377052503735317,-0.00036026434297113273,-0.0001930300378418745,0.0006716352559975916,-0.0049477260394410385,0.0024416502225483917,0.0006692480217940644,0.0028079770498592783,-0.0013445259072064316,-0.0008165947228945454,-0.0008892305071679388
-0.0412457609366969,-0.01958872276406206,-0.017531055631065346,-0.010853747332859503,-0.016831288744340967,0.0014480366554031376,-0.0037991583139749584,-0.010322179747571462,-0.021943444189406847,0.00018913348498751298,-0.006871627333729162,-0.015534536727564184,-0.006504546344902024,-0.003055815077645487,-0.000845738220700857,0.0025521255680446536,-0.0007141100636768575,-0.00371962314319297,-0.007456886139331521,-0.0016359567358203648,-0.00270599562247038,-0.0011940086994744962,0.0006185521221009248,-0.0013248612482624428,-0.003630583689791843,0.001337406031339253,0.000455911477623063,-0.003179122915045687,-0.0007595963912714891,-0.0009256383989650995
-0.024887485799126932,-0.019147483371911335,-0.013781582539833798,-0.010506360088877289,-0.01147311963476453,0.0032397862696260382,-0.011384244882252594,-0.007612103592193101,0.005714517964914827,-0.007255827713636191,-0.0016943530616626524,0.000310116293163891,-0.005366371975348367,-0.002546248032209218,-0.0045860369218365706,-0.007171550629915949,-0.0007296511050605267,-0.0010778719375876848,-0.0051689980311020135,-0.0030625510595875026,-0.004732464074972408,-0.0013231435351739535,-0.001873260358086448,-0.003054658516211494,-0.004090450069508804,0.0013720850915835401,-0.001589096240884805,-0.0019729434445354636,-0.0014060027799711237,-0.0008227213673183071
0.005367830282492587,0.0068193892466312175,-0.011920448542452085,-0.011372575722629612,0.0037971629866634026,0.006234512154385878,0.010446839496180743,-0.00274298613629093,-0.001152071139937384,0.005012361377563644,-0.014635558210631203,0.006308602958595279,-0.00987651389121412,-0.006286652835043745,-0.005027614716904253,-0.01023376950420018,-0.005435050962684378,-0.0002179340057749959,0.002001808325519903,0.0012720375645254476,-0.0004877809704546292,-0.0019043478222979752,0.0038175572917617594,-0.0016016349165894723,-0.0030706349758584245,-0.00030312821279918295,-0.002671614036668375,0.0021429148419917707,-0.0006050181784969166,-0.0013421719158341495
0.014658612588621212,0.009525239575014376,-0.018637769693940723,-0.0061757260966681,0.0029302969649426776,-0.0169652188317886,0.0026739678495374397,-0.0013526802480993746,-0.002442344742737593,0.0036019068392999067,0.006533839817217304,0.0030571833788545395,0.004228949734764094,-0.0029354248639904996,0.003342658816645268,0.0023243581881455784,-0.005645333362400473,-0.00016557308783932083,-0.0011287870228031075,0.0031483728509473837,-0.0006903847325853417,-0.0017071668725867997,0.0014824820743317912,-0.0028479363248744448,0.002675138213157099,6.550649128450997e-05,-0.0002988482334191086,0.002105845717793778,-0.0010906026459547467,-0.0020229732115971183
