net8_Limbic_aperiodic_exponent_p95,net8_Temporal_Parietal_aperiodic_exponent_p95,net8_Salience_Ventral_Attention_alpha_peak_bw_p95,net8_Salience_Ventral_Attention_aperiodic_exponent_p95,net8_Dorsal_Attention_aperiodic_exponent_p95,net8_Default_Mode_alpha_peak_cf_median,net8_Executive_Control_aperiodic_exponent_p95,net8_Default_Mode_aperiodic_exponent_p95,net8_Temporal_Parietal_aperiodic_offset_p95,net8_Visual_aperiodic_exponent_p95,net8_Salience_Ventral_Attention_alpha_peak_cf_p5,net8_Temporal_Parietal_alpha_peak_cf_p5,net8_Somatomotor_aperiodic_exponent_p5,net8_Visual_alpha_peak_pw_median,net8_Dorsal_Attention_aperiodic_exponent_median,net8_Somatomotor_aperiodic_exponent_median,net8_Temporal_Parietal_n,net8_Default_Mode_aperiodic_exponent_p5,net8_Visual_alpha_peak_cf_median,net8_Limbic_alpha_peak_cf_median,net8_Default_Mode_aperiodic_exponent_median,net8_Dorsal_Attention_alpha_peak_cf_p5,net8_Limbic_aperiodic_offset_p95,net8_Visual_aperiodic_exponent_median,net8_Visual_aperiodic_exponent_p5,net8_Visual_alpha_peak_cf_p95,net8_Limbic_n,net8_Somatomotor_aperiodic_exponent_p95,n_total,net8_Dorsal_Attention_alpha_peak_cf_median
-0.07977090026514265,-0.06757220573648909,0.013296636297268866,0.0430418981988425,-0.028996950851027367,-0.02561075119254982,-0.04106832838024435,-0.013259489831259276,-0.015707680612440836,-0.0729196299843404,-0.025453235475314112,-0.03756140453902567,0.033291226787597064,0.16679948950645,0.04733039644179796,0.042914238953697045,-0.0029893929463908823,0.042889916240969536,0.008832774504835038,0.004832043038898009,0.020101216517755115,-0.05185128103932388,-0.0012486881696059924,0.018125008823210272,0.008553233167640832,0.06154810293135451,0.01547974997013263,0.034655762590332984,-0.005406873298922129,0.025037602369735793
-0.06674494263135176,-0.047273779475623126,0.06688171375469201,-0.018878757666473144,-0.038196313000874525,0.027637324052746597,-0.027535506822981747,-0.01011323077042501,-0.004954894885919834,0.0015906776495994803,-0.028332617473192982,0.011172365707262771,-0.006918873431957501,-0.007914960682041628,-0.013347579928907618,-0.0031978688074166565,-0.007436304933307355,-0.014893981943697883,-0.004120320271525082,-0.011649931713162127,0.0005298268474950703,-0.0021592244417403543,0.002259948409048711,-0.0011957500292244223,-0.003707875466689048,-0.0025586696047326073,0.016078021073265624,-0.011519550858225744,-0.010591390362574981,-0.01111648614783205
0.04260174701317967,0.033997330763459704,-0.032985856294743474,0.0658733458303236,0.03828625161810031,-0.032513636538506537,0.052038929000488274,0.054726431605881525,0.012358959924918969,0.034845656584495927,-0.018139156797445797,0.005237084968767205,-0.017254153243632515,0.051021770775181156,-0.014665508898512328,-0.020841481594724626,0.055055543851174525,-0.015973198639978786,0.03658962808460218,-0.006055049232844937,-0.0049377947434676795,0.010306990382006102,0.003660103657293778,0.021762675002584216,0.00038933343784801935,0.02664228648946966,0.009831710651299919,0.03059455911843175,0.04100046271704691,-0.0025878033926284736
0.08993763996341703,0.06375137266004124,0.011156687279733577,0.09887313400609356,0.0677914319480118,0.026994695180462266,0.0652887510034315,0.04431702087894642,-0.011328508783428604,0.03008486082333603,0.025699145568146294,0.01530547298066949,-0.01636375753461529,0.04619851618584561,-0.014493015058316034,-0.022253930791205037,-0.004763998808594613,-0.01694819689144343,-0.004380950559833467,0.013321280575916862,-0.010719516537729517,0.00994046724798171,0.009799064830393934,-0.037581515471488885,-0.009453626724696398,0.0040277934177098944,-0.006334823776826909,0.029524862925416773,0.0011070659891721677,-0.01352138435622462
-0.009152043918683956,-0.047263831257930704,0.0045807625752198435,-0.03173363778382235,-0.021102539875624538,0.042459664038956936,-0.039168758720663964,-0.017311052618574404,0.007760842179137321,0.010104152217091846,-0.013162690828986013,0.012344628640634753,-0.008223674878966674,-0.03987266987057974,-0.003962209626749354,-0.005865485790934995,-0.010752535358692146,0.0040540816534197725,-0.028747134031321606,0.008750051324142106,0.008138087850477626,0.006685395174882333,0.00019845618791082726,-0.00424992139651682,0.014209292762031613,-0.0009250972440422694,-0.013340567609463106,-0.022802173493676272,-0.0007469471019098076,-0.010576810285888463
-0.034378068058391,-0.03056735066136742,0.09869438734143929,-0.01668227271550052,-0.03615040142290505,-0.028399073179049772,-0.014418034114803994,-0.013302074492971314,0.018099672995103636,-0.0032694377870262355,0.027920584684821264,0.0016266232658076521,-0.008599265189739002,-0.019325143643957682,0.0013590634819725085,-0.00976384524920423,-0.008834209186103776,0.01858876638252188,0.029347520975410806,0.0391384994755781,0.0066157395191630995,-0.004636164366139626,0.013555892303003756,0.009558648082387567,0.011220435311847934,0.03664355471391403,-0.007683981277200329,-0.012486963219853781,0.009647757669607755,0.014290368524717554
-0.029309843935076664,-0.02635998131819078,-0.07745703626007776,-0.039838989964075526,-0.012062946931644003,-0.04371948106331039,-0.03246392969548502,-0.024709846815709605,-0.03930760805390975,-0.042906372093139626,-0.021863263466428407,-0.035109324804724375,-0.012064030260543894,0.021127638580571574,0.034587624455894896,0.0035793118308363077,-0.0010163623403267258,0.005360823958351097,-0.022518035549124966,-0.012191486602829999,0.011231596286525434,-0.060756977504789346,-0.012792434451515105,0.02870042559548956,0.0003576752802735821,-0.016353673004971547,0.01611881536170105,-0.007329992897268207,0.0004977999624419032,0.009743759508566357
0.09660542435270951,0.04664859048332832,-0.0656211034023863,0.016663498950300577,0.021359654186067605,0.010796319519283186,0.05757312876069965,0.041903996521432625,-0.023778394011916087,0.024917913041382814,-0.03355216867333066,0.005569522245978325,-0.01718516758157379,-0.023918427930339305,-0.03024479996760878,-0.0011252111564411897,-0.0196300420793771,-0.0032382686338981942,0.010050968192478436,-0.013561648062412928,-0.010751298849465686,-0.004600496578750949,0.015240158215724749,-0.045017859463966275,-0.00661454863507816,-0.008168038018063865,-0.011066491135181895,-0.0016856205502664397,-0.033646656969540396,-0.016612283665716533
-0.008100864880135757,-0.039091180659419106,0.10561225651381266,-0.009179134300381364,-0.029905215533419374,0.014394467514384916,-0.04841289479484174,-0.009025671173666622,-0.021005114793829705,-0.0368381634380589,-0.005493429328054789,0.023299703689062798,-0.02367605066158316,0.07821892092899203,0.0500170473529747,-0.003463432323992494,-0.003839767025251951,-0.006284079108930073,-8.220869812620804e-05,-0.014057764062074034,0.0032648078589245927,-0.0021495225302135147,0.014656020463223786,0.019604210609237983,0.0038816273483460507,-0.013737934597053391,0.009307072139451327,0.002654068943599222,-0.00023721760266304473,0.0003499963104036861
-0.07136969746107924,-0.09600891167151204,-0.07064698355654529,-0.0364269446855544,-0.006560294893741163,0.011314269276976817,-0.024393441637892286,-0.02927721320419736,-0.03183679793786125,-0.037563975177064314,-0.014124657400589451,0.0007227687351018609,0.02967302541625481,-0.007465146034120252,0.015074787603158469,0.017702432370151712,-0.008969032866783067,0.008704018355669559,-0.014500277414411657,-0.0021166799630999546,0.018839572688060458,-0.0037506053114864327,-0.0012882276771016463,0.0053290797847989355,0.003469812991403532,0.011702308130518374,-0.006768132114580555,-0.005209163975443094,-0.010256531909114582,-0.007636592951300907
