net8_Limbic_aperiodic_exponent_p95,net8_Default_Mode_aperiodic_exponent_p95,net8_Temporal_Parietal_aperiodic_exponent_p95,net8_Visual_n,net8_Default_Mode_aperiodic_exponent_median,net8_Temporal_Parietal_aperiodic_offset_p95,global_aperiodic_exponent_p95,net8_Somatomotor_aperiodic_exponent_median,net8_Executive_Control_aperiodic_exponent_p5,net8_Limbic_alpha_peak_cf_median,net8_Temporal_Parietal_alpha_peak_cf_median,net8_Dorsal_Attention_aperiodic_exponent_p95,net8_Default_Mode_alpha_peak_bw_median,net8_Dorsal_Attention_alpha_peak_pw_IQR,net8_Somatomotor_aperiodic_exponent_p5,net8_Temporal_Parietal_alpha_peak_cf_p95,net8_Limbic_aperiodic_offset_median,net8_Salience_Ventral_Attention_aperiodic_exponent_p95,net8_Default_Mode_alpha_peak_bw_p95,net8_Visual_aperiodic_exponent_p95,global_aperiodic_exponent_p5,net8_Salience_Ventral_Attention_alpha_peak_bw_p95,net8_Visual_alpha_peak_pw_median,net8_Limbic_aperiodic_offset_p95,net8_Limbic_alpha_peak_bw_p95,net8_Default_Mode_alpha_peak_pw_p95,net8_Executive_Control_aperiodic_exponent_p95,net8_Executive_Control_alpha_peak_cf_p5,net8_Visual_alpha_peak_pw_p95,net8_Temporal_Parietal_n
0.03627231795772494,0.061496441538790234,0.04737478736382724,0.1340009223875746,-0.017468183289193473,0.020297211685321802,0.04153083889294709,-0.01891658223749559,-0.017677536148160918,0.005827185901848355,0.01866311278552713,0.023128455931217463,0.01595347631639755,0.007595390001395037,-0.010828418526698289,-0.004637101897741763,-0.004261936206533356,0.010752833325536693,0.009629794385534917,0.015569110047381752,-0.011688633176009622,0.01220323849384249,0.04106256756714138,0.00487875723858443,0.0035368187929302173,-0.01335946633968391,0.018896008315491656,-0.000697070602360409,0.026682299066098647,0.020207596884428188
0.05938172494615781,0.019231887787642496,-0.013846907158227948,-0.019932628133791427,-2.581071709984691e-05,0.006061309560375547,-0.01904472737416917,0.0192679903376571,0.011144114532931983,0.023953386062815565,0.05222758915911881,-0.0036285092047128914,-0.00951724515973768,-0.015042052240183113,0.017268575415625403,0.04467783679361385,0.013587038983528732,0.00047988841880790956,-0.022897949276676637,-0.011317598979825372,0.012357313639518974,-0.027833755355419387,0.023573853567478577,0.012675642636549016,0.005855657395648286,0.007835380031632392,-0.0073538964358646755,-0.0026838930994910874,-0.006659749167711315,-0.010485831674377373
-0.05898192862803969,-0.0680201482190704,-0.030799788963692606,-0.0227512609161145,0.05021143788508576,-0.06710386612024573,-0.030601303165555795,0.017075906455707966,0.031837064114789294,0.016797066392201472,0.011852000696852083,-0.020067721013892946,-0.023271912526380296,-0.006598402465719123,0.010340461813736133,0.02060771867289409,0.006842329412691583,-0.032155915223563356,-0.022394586082331393,-0.01700373570872955,0.006975259671989584,-0.022324645980154392,-0.009038749254317862,-0.04185815093304343,-0.011574102774572902,0.0015804623905396255,-0.01197258678940777,-0.007890370068723703,-0.019212033199628067,-0.012006878457000778
-0.026972786122634367,-0.024261214700382096,-0.026421852916848166,-0.014287151413820975,-0.041807778523793804,0.03559583957460955,-0.023567284348567405,-0.01759080265722502,-0.015537415740093763,-0.015800156558601307,-0.03175763395313594,-0.013656264896525685,0.05757106234982505,0.027539073893689404,-0.0205646725068415,-0.026784837736041216,-0.00022166672985913182,-0.0024163979268393074,0.019033791341889362,-0.006955903960412805,-0.014464682094041219,0.01719320449191768,0.020555033052081905,0.014724350066998453,0.012737780053863506,0.014448595649552406,-0.009371190806680495,-0.011240675364770036,-0.006854606379700971,-0.005329611834745765
-0.08148184790316669,-0.0036738456471725888,-0.06684096044369728,0.0439311068346912,-0.003082792921445938,-0.006709635728801127,0.01045627227147012,0.01798647092568005,-0.0009751734909587198,-0.06142134336200389,0.03647700717606715,-0.020131922219622372,-0.007362073082740113,0.0024131067151669616,0.007481230484516505,-0.025543257664336228,-0.0035785765247472083,0.01524257979030466,0.010659164548722892,-0.005634932445788095,0.0011822217157251857,0.015297775217298406,-0.023502408517048528,0.0027375871494571572,0.005551147833033372,0.010610492694763276,-0.0074525019389758305,-0.009838155713851753,0.007418892787651684,0.027820980307148285
0.14142624458051808,0.07884633460852514,0.0983045048718338,-0.02094014491538149,-0.0613238932530234,0.0736505852336772,0.03820999616639225,-0.07248867643045606,-0.08124126961294471,0.010654666187100054,-0.019270683100691778,0.035927658988840046,-0.007915670154600225,0.014337491111261747,-0.0735956919546893,0.017451886385851444,-0.029396913777240727,0.023572381942462948,0.02792786700710783,0.01676801547699364,-0.03369339694679611,0.023840037440568826,0.009239581867577592,0.032438740566783905,0.009725359794303685,0.018083157456351723,0.017410581576474304,-0.027454719258044453,-0.009801413043513086,-0.007318684882475089
-0.028025831944054343,0.021905038782714138,-0.015895367284694432,0.10907690918191197,-0.038636789092242024,0.02153894199581773,0.06264899910244823,-0.004574940375003268,-0.029335899449650298,-0.03966843189837804,-0.03473274039506753,0.026342231334565844,-0.017696138338912218,0.01801181087906274,-0.0028164493313116616,-0.015133961804171743,0.014603868444438572,0.020311719486153353,0.011768273715363941,0.03807803369782796,-0.01794540521615966,0.02132344701092859,0.043990954947260644,0.008185007466286838,0.010349796543175799,-0.031182610931796327,0.018281862620787202,-0.0020037406310732743,0.04926735418407593,0.055877733334025376
0.037331704819956124,0.06621532032689577,0.04300241399341307,0.14998552263182557,-0.019975732489234985,0.020836848466648083,0.04111974250175823,-0.016522209789331412,-0.017767326642996833,0.006421387898235396,0.015004735452326215,0.024142673306808398,-0.005971238001469408,0.015758072267246234,-0.023690874691412633,-0.005498425218553843,-0.0007910928105150876,0.01667351064517045,-0.003994519463017223,0.016817038265016026,-0.010959252621724267,-0.0017145850696179492,0.0466806899057359,0.005051080479061126,0.0012392644635962598,-0.0072938842587720095,0.016126958762473477,0.0149482081568226,0.017004552804506225,0.022317849830384713
0.1345257392149094,0.07592046068561993,0.0605069388352198,-0.007912470601339741,-0.038981158188462144,0.05025854057957395,0.03026217640462562,-0.0363112570424978,-0.0070741219591830586,0.020731949953917236,-0.004229543475389453,0.04099517857097247,0.03849699693069791,0.027186872623597324,-0.03272867554761459,-0.008883793983782093,-0.008926399519112971,0.021631362029963755,0.014348456440159583,0.017902782115956195,-0.01257692314253214,0.022516026632507038,-0.011395947037660498,0.008554175392282242,0.008947476015985613,-0.00044936634612787287,0.024608492781595125,0.012692821316380049,0.0010751289029574385,0.009467813414287977
-0.07041901562754775,-0.0007166417027809163,-0.009010233709076994,-0.01732633811391372,0.008114874242914315,-0.05433041870625965,-0.015849167359984522,0.014085634801244968,0.06913448795300167,-0.034603647283078326,-0.026046624184536283,-0.011765624456474666,0.00973797613333146,0.01915636551859522,0.00780058577173433,-0.020935622586962185,0.0252280957608256,0.02969833900119728,-0.016852257206457204,-0.008216315720339042,0.003006849505612555,-0.0042141157016807864,0.004789196161021465,-0.023502288181517707,0.008397486768904106,0.015765427130990016,-0.006552428715969356,0.06195825283598731,-0.0018997145574777047,0.006538678412492146
0.06051149400020787,0.0470089039908871,0.04963858637263232,-0.02527447865329362,-0.04863281178000142,0.03825088225508,0.025139639719257874,-0.07036588483334463,-0.06296967185620198,0.030977196043840385,0.02256526803468704,0.028157655033537447,-0.060114057773498895,-0.04699246609312684,-0.05401153234274626,0.011376540114236462,-0.05039050552948753,0.01010512083675008,-0.033544448655040145,0.016466822070733432,-0.040460375312607086,-0.028592635842156756,-0.012493393641356838,0.0075418367219765034,-0.03558651452324333,-0.0035131340182561126,0.014184951832505548,-0.011987578825662277,0.002622854254097457,-0.009144442957015997
