global_aperiodic_exponent_p95,n_total,net8_Visual_alpha_peak_pw_p95,net8_Limbic_aperiodic_exponent_p95,net8_Dorsal_Attention_aperiodic_exponent_p95,net8_Visual_alpha_peak_pw_median,net8_Limbic_alpha_peak_cf_median,net8_Executive_Control_aperiodic_exponent_p95,net8_Salience_Ventral_Attention_aperiodic_exponent_p95,net8_Temporal_Parietal_aperiodic_exponent_p95,net8_Default_Mode_aperiodic_exponent_p95,net8_Default_Mode_alpha_peak_bw_p95,net8_Dorsal_Attention_alpha_peak_cf_median,net8_Temporal_Parietal_alpha_peak_cf_p5,net8_Salience_Ventral_Attention_alpha_peak_cf_p5,net8_Limbic_alpha_peak_bw_p95,global_alpha_peak_bw_median,net8_Temporal_Parietal_alpha_peak_cf_median,global_alpha_peak_cf_median,net8_Visual_aperiodic_exponent_p95,net8_Visual_alpha_peak_cf_median,net8_Dorsal_Attention_alpha_peak_pw_p95,net8_Visual_alpha_peak_cf_p5,net8_Dorsal_Attention_aperiodic_exponent_median,net8_Dorsal_Attention_alpha_peak_cf_p5,global_alpha_peak_pw_IQR,global_alpha_peak_bw_p95,net8_Limbic_alpha_peak_cf_p5,net8_Executive_Control_alpha_peak_bw_median,net8_Salience_Ventral_Attention_alpha_peak_bw_p95
-0.09137855714886477,-0.0069769141991089636,-0.0017474159601457845,-0.007556188430480969,-0.012712093482009293,-0.002129619716489996,-0.009884892331260192,-0.015347871028513128,-0.012831850631202915,0.0012673654578804255,-0.00848178208226521,0.005322347483830572,0.007514329200242603,-0.006367902075262136,-0.00873167390755979,0.011863040940068037,-0.0010632707819204137,-0.0002063894562716163,-0.002925713952551119,-0.00499956990225449,-0.0034496990778957537,0.0006150062460279001,-0.0044837411099240025,-0.004651995315398863,0.0024359164090795946,0.0010286439171782477,0.003919347605646641,-0.0032425122231218182,0.0022877501581553194,0.0033205827779491225
-0.06600908107396837,0.017350155885775823,-0.01658509501893742,-0.01790770089971297,-0.023659275864301502,-0.011615417898313319,-0.012685845805132871,-0.015355946830591043,-0.006816911935011164,-0.0186526450139497,-0.010147553544459812,-0.005369118268452353,0.003303624520421494,0.007787558805403991,0.005069902014857769,-0.00870911299265794,-0.0027381255906562684,0.0038968793546368687,0.0004240958008674712,-0.00715862951639187,-0.004313186596286735,-0.004003922487520943,0.0025978319572817765,0.00824679644926255,0.005980139193733885,-0.003849247235834836,-0.0009038141296719644,0.00037300281901598046,-0.0014144137692817726,-0.0011619935711023903
0.005748759284163558,-0.020841777250067334,-0.027218335021868115,-0.016260016826848453,0.0116104346709206,0.005226763911680331,-0.04021828106657912,0.00663885867912515,0.007415560435327896,-0.0007916571425487952,0.0018516417023624282,-0.006111327743387847,-0.0030810173642603416,-0.0022074886031276924,-0.004756882120255355,-0.008244985146986305,-0.007095345313960792,-0.020253558080566045,-0.011906084278229985,0.001316502808904264,-0.001177568230227257,-0.006461972519783369,-0.004886824037447033,0.00046784471062058476,-0.002011587354105827,-0.0005782767370217794,0.0002881040776271829,-0.021843894784587224,-0.004011887192902508,-0.003784104987001114
0.060656218180482335,0.04690269588464945,0.043988549442329855,-0.001609511691264939,0.014281253444647497,0.025239971659426468,0.007827839705922324,0.017217034644565334,0.00959803335375516,0.009556994720609,0.010958482781116791,-0.0051613747636149645,0.002724421968599194,0.0018711309611050076,0.002183094287796707,-0.0016930158049078905,0.0017696154509641432,-0.0005372571195982653,0.005785570950626281,0.0035810941425392915,9.263938608708717e-05,0.00812315147819093,0.008549499457425466,-0.0034674892936842655,0.003684445947009203,0.008884686676447087,0.00038590072532800263,0.0008944141832271588,0.002253520860162851,-0.0019109473215686958
-0.03299937489760499,-0.015566301359888884,-0.0295561239087159,-0.011247513651040035,-0.013063593892142488,-0.014995934982166259,-0.01808064311691006,-0.003448152224240244,-0.010412335309848274,-0.012793272679560515,-0.008030963990214681,-0.0024204141987879788,-0.010567465869352526,-0.007809945295186177,0.003106307086792901,-0.004094743703444017,-0.0037394076356798505,-0.007398982157933378,-0.006230869300074724,-0.006707459914171054,-0.004840893854677532,-0.003800224697996116,-0.003320961740246338,0.004749499793834404,-0.006870817165742089,-0.002897973191345761,-0.0020766967182164965,-0.005337778539876521,-0.003091540541999423,-0.0019629350892771597
0.0736384955392333,-0.00985922963699332,0.0018055256097472847,0.05877307618387783,0.016716093772737,-0.0018500077781298924,0.008324580143501476,0.01092510241336354,0.014813676414913069,0.010427999290722847,0.016369881439111666,0.036571695727532424,0.0022907916357230705,0.0036213934195374743,0.0033196292697491797,0.008218826420951857,0.024029984865313492,-0.008424514131812005,0.0032924599151344337,0.0020630277645665475,-0.00021407997275879956,0.00515386176193095,0.004498117540311851,-0.0031254817766285473,0.0032345980398611903,0.0004953931871564394,0.01037976756798752,0.003254350452198827,0.007303523268281196,0.006180526297106387
-0.05785236896169293,-0.01706852844271028,-0.008865836461077475,-0.008946442617568494,-0.015892985084238174,0.0003555316157410516,-0.023722040689289833,-0.004927009770000385,-0.004535626550353804,-0.008048709704473985,-0.00942957088414934,0.002684641096777301,-0.007875909061422418,0.0065861131061301795,0.007083012611083999,0.00021542717083766527,0.0023975093943859817,-0.0054351083088950754,-0.008361479766616959,-0.0038234765448948017,-0.0045383834463380715,0.0004599500228964937,0.0022738660485754087,-0.003272942268922477,0.0098094479580447,-0.0023135407116203948,0.001386211952469136,-0.00961644121916965,0.004156581806318365,0.0033875831651031074
0.015902457998658758,-0.02968334570191511,-0.046967623372528494,-0.010032620441343834,0.0020101378804349237,0.017425663170316227,-0.03019772248082803,-0.0010291070181900073,0.0061524094050489095,0.012489990420842988,0.00798739516935481,0.01962452971592062,-0.0075817446031537835,0.00191612076674747,0.0003773809394300814,0.004441569305946005,-0.007622107484594046,-0.020107070993527723,-0.017472215042762577,-0.00019218304853049425,0.013631073845585023,-0.020747229600992064,0.002084832753930793,-0.004690619485900505,0.0011853887552531147,-0.013689254859490511,0.004256832764409162,-0.0009236741291520048,-0.004054363507658679,0.00604589436590018
-0.08765066175361609,-0.010786731791136291,0.007084609117443642,-0.014857870584060833,-0.016849967486271857,-0.00033295616096680404,-0.007265338030619686,-0.007654246479335464,-0.008660569574055001,-0.022067726601068368,-0.009291158999060018,-0.0037188912498883676,-0.01338188874131788,0.009735527017278875,0.0072963579320070105,0.004666864033096273,-0.00159646485668525,-0.0015830053352495926,-0.0018338991179707865,-0.006946469001076051,-0.0034101791124451623,0.0003464890112425359,0.0015323961350572379,0.008159858978513542,0.0012611531273880121,-0.0027613107343551556,-0.0015194258512590967,0.0017399836470782563,-5.5629897887547617e-05,-0.0017585106225677292
-0.05394782181995802,-0.018505245889082513,-0.03141944516079378,-0.013729546593346712,-0.011907935628518216,-0.012631614755238219,-0.011106885014560157,-0.0075638773138013956,-0.009173631744906907,-0.013685395053505838,-0.006344116302534918,-0.0042921432755895295,0.008149644770204486,0.002081160805295135,-0.0013145794466523104,0.0008220474645317496,-0.004664826862022621,-0.001451969195968107,-0.00536663481064883,-0.010375960911792537,-0.0022215946562239527,-0.004136300587927832,-0.000527571303320306,0.004328784037314116,0.0018878589248183994,-0.002840737387859143,0.0007307041081951044,-0.00039698889625112673,-0.004196529545337621,-0.004401555324304937
-0.0833394442466679,-0.016432015720693173,0.0016536792270300546,-0.016462390227375612,-0.01661314733020233,-0.0008429411455068342,-0.00441775546876503,-0.010059273488571139,-0.009928607577466072,-0.007754037972107762,-0.006863001241661976,0.008748403383279245,0.0011888862802687113,0.006698362207549256,-0.012576017276951424,0.004174550087414788,0.0007237648909129607,-3.993970915867427e-05,0.0006785789230543475,-0.00427747712472298,-0.002419357040407505,0.0007140090307664298,-0.00044343281645455485,0.005840113883244917,0.0033241592876466176,-0.0010494480307181252,0.014007817591949493,-0.0006066186782276785,0.002547351526966487,0.007950669647151078
-0.04530355301778683,-0.015332540218869015,-0.013090829772401037,-0.010094162287237807,-0.012532704174582764,-0.015454053546611904,-0.018689214159846125,-0.008299432697287975,-0.012126800171963386,-0.0042153574412389745,-0.006705199299709464,-0.005177259763015043,-0.008200876383193875,-0.012971212981475168,-0.01309259471874122,-0.0037538601593970784,-0.004045007386574095,-0.003577054649747373,-0.005294438464363976,-0.0036934299040117563,-0.004556045998006772,-0.0038997939081089196,-0.0035563880320629406,0.0029831297921787065,-0.00452149369736338,-0.0029392142889547897,-0.0063199257337214106,-0.004077975616868249,-0.003197137348018257,-0.0033741138180112475
0.07867260076389672,0.02057399170511282,0.029499218850823575,-0.005287247132985507,0.005574693119413902,0.020283367106414815,-0.005093951804966901,0.013640838436551062,0.009329276814273335,0.00936903199429152,0.01704558765703811,0.019424547446187424,-0.0029488584477288084,0.004127020617644656,0.002559497825485444,0.0060459220473379986,0.010235035108015024,-0.006679906029275794,-0.007789602783957377,0.0025932788843455413,-0.002299928404295623,0.00615067807862546,-0.014041385911287835,-0.005148791780295983,0.007529742745349069,0.006117957106767549,0.00481501010167397,0.008026929563411125,0.00409936293472659,0.00448248524824887
-0.07726340321884137,0.011765587682060286,0.0015420705253084677,-0.010687070741058598,-0.01394285732945561,0.0014817983103438074,-0.019104905378985446,-0.022651164960343077,-0.009140508384541201,-0.0036000521912164653,-0.012766068308104159,0.003899057340971936,-0.014719162204005347,0.00922086512048369,-0.01032394690064451,-0.0013287977550399278,0.00034682954999170083,-0.004490342376135824,-0.001385898797724599,-0.0056422999625431415,-0.0030645011585972125,0.00039028666445453935,-0.009201176710974448,-0.004528425200835602,0.0013334932024106527,0.0018759701880954921,0.0036856567646366923,-0.009574986982175699,0.0035953935750785804,0.004214071612854156
0.03925697275031276,-0.018578719578625585,-0.025601487017708705,-0.005782663371775588,0.008606607293084073,-0.017461205814574624,0.011857061412383732,0.007218270646115019,0.00889888842790954,0.0122811936437619,0.0005862046029823191,-0.003487909587696213,0.010195568261542016,0.00197586576171095,-0.004936036096186356,0.008689561162224437,0.001177591926008,-0.0018546843448311407,0.012023653412144085,0.0019509011481601704,0.00014753837953422377,-0.0048707205702752466,-0.003488404578310198,-0.003496068760053973,0.0021216759211753673,-0.006806108873180446,-0.00017041268338139885,0.0005629859639321544,0.007722508234179678,-0.0030223033363448904
-0.043310390627458235,-0.034653986744432104,-0.008358563994005327,-0.006323456928973662,0.013475704119836006,-0.009086474269240278,0.02428713155334848,-0.0005049181412759693,-0.010649825617909121,0.0009053549778879565,-0.014986420708238754,0.0035282865193790626,0.005781531919167327,0.004982054266998225,0.006870509456178076,0.004255077101590065,0.0018705332640489795,0.00554294101360459,0.0031362276257671,0.003532089369199177,-0.0009648087419276239,-0.00469503368382556,-0.0003707831770508806,-0.0015349780153730993,-0.0018205869841184028,-0.0010085739567481035,0.0014065849406182116,0.0007146703553433986,0.004200651211500349,-0.001862289261782683
0.043410716909787934,0.030118596504713303,0.009010244068851588,0.016734753612009007,0.012082310479555398,-0.015907580995140367,0.012606279597040531,0.005821951550171618,0.015009911985847453,0.0178235583935657,0.0023990162427779387,-0.006224004010325862,0.006466740180919089,0.006091083320191631,0.005846638610918748,0.007203121063348081,-0.003916744073651205,0.001834736916200844,0.008607368898454367,0.0030791179737206823,0.0021489714554406227,-0.002832615693540577,-0.012100959127769656,0.005947243870427462,0.0026328668719098284,0.00018353289243745605,0.0025778929339549117,0.00444691906466123,-0.003288146199666392,0.005092105124829433
0.03787017433949119,-0.0041260596466890734,0.0039131505773915476,0.003404413170429356,0.011474080757222558,-0.002537984229009766,0.020900084385187825,0.006060650805751174,0.008197822127281736,0.006561681082194769,0.004364980171056995,-0.00138204569069154,0.0031410403407745742,0.0021553464822356696,0.004049461466528339,-0.00685297345536422,-0.004955741843558974,-0.010501928200368126,0.00800668140038305,0.0034742256625286466,-0.00026023056429593265,0.0012768190674342652,0.004290228689011882,-0.0034989773553241984,0.0023345256663151355,-0.008983769416367065,0.0013552368171993825,0.006068686103925716,-0.0009224203086525096,0.005345253878052009
